75  1493718062000521  (-11.5848,-30,0 - 100)  (-11.5848,30,0 - 100)   (8.21164,30,0 - 100) (8.21164,-30,0 - 100) 
76  1493718062000620  (-11.4902,-30,0 - 100)  (-11.4902,30,0 - 100)   (8.21164,30,0 - 100) (8.21164,-30,0 - 100) 
77  1493718062000721  (-11.4902,-30,0 - 100)  (-11.4902,30,0 - 100)   (8.21164,30,0 - 100) (8.21164,-30,0 - 100) 
78  1493718062000821  (-11.4902,-30,0 - 100)  (-11.4902,30,0 - 100)   (8.21164,30,0 - 100) (8.21164,-30,0 - 100) 
79  1493718062000920  (-11.4902,-30,0 - 100)  (-11.4902,30,0 - 100)   (8.21164,30,0 - 100) (8.21164,-30,0 - 100) 
80  1493718063000021  (-11.4902,-30,0 - 100)  (-11.4902,30,0 - 100)   (8.21164,30,0 - 100) (8.21164,-30,0 - 100) 
81  1493718063000121  (-11.4902,-30,0 - 100)  (-11.4902,30,0 - 100)   (5.14571,30,0 - 100) (5.14571,-30,0 - 100) 
82  1493718063000221  (-10.1581,-30,0 - 100)  (-10.1581,30,0 - 100)   (5.14571,30,0 - 100) (5.14571,-30,0 - 100) 
83  1493718063000321  (-10.1581,-30,0 - 100)  (-10.1581,30,0 - 100)   (5.14571,30,0 - 100) (5.14571,-30,0 - 100) 
84  1493718063000420  (-10.1581,-30,0 - 100)  (-10.1581,30,0 - 100)   (5.14571,30,0 - 100) (5.14571,-30,0 - 100) 
85  1493718063000521  (-10.1581,-30,0 - 100)  (-10.1581,30,0 - 100)   (5.14571,30,0 - 100) (5.14571,-30,0 - 100) 
86  1493718063000621  (-10.1581,-30,0 - 100)  (-10.1581,30,0 - 100)   (5.14571,30,0 - 100) (5.14571,-30,0 - 100) 
87  1493718063000722  (-11.518,-30,0 - 100)  (-11.518,30,0 - 100)   (5.14571,30,0 - 100) (5.14571,-30,0 - 100) 
88  1493718063000821  (-11.6483,-30,0 - 100)  (-11.6483,30,0 - 100)   (5.14571,30,0 - 100) (5.14571,-30,0 - 100) 
89  1493718063000922  (-11.6493,-30,0 - 100)  (-11.6493,30,0 - 100)   (5.14571,30,0 - 100) (5.14571,-30,0 - 100) 
90  1493718064000022  (-11.6493,-30,0 - 100)  (-11.6493,30,0 - 100)   (9.58084,30,0 - 100) (9.58084,-30,0 - 100) 
91  1493718064000121  (-11.6493,-30,0 - 100)  (-11.6493,30,0 - 100)   (9.58084,30,0 - 100) (9.58084,-30,0 - 100) 
92  1493718064000222  (-11.6493,-30,0 - 100)  (-11.6493,30,0 - 100)   (9.58084,30,0 - 100) (9.58084,-30,0 - 100) 
93  1493718064000321  (-11.6493,-30,0 - 100)  (-11.6493,30,0 - 100)   (9.58084,30,0 - 100) (9.58084,-30,0 - 100) 
94  1493718064000421  (-11.6493,-30,0 - 100)  (-11.6493,30,0 - 100)   (9.58084,30,0 - 100) (9.58084,-30,0 - 100) 
95  1493718064000522  (-11.6493,-30,0 - 100)  (-11.6493,30,0 - 100)   (9.58084,30,0 - 100) (9.58084,-30,0 - 100) 
96  1493718064000621  (-11.6493,-30,0 - 100)  (-11.6493,30,0 - 100)   (9.58084,30,0 - 100) (9.58084,-30,0 - 100) 
97  1493718064000721  (-11.6493,-30,0 - 100)  (-11.6493,30,0 - 100)   (9.58084,30,0 - 100) (9.58084,-30,0 - 100) 
98  1493718064000822  (-11.596,-30,0 - 100)  (-11.596,30,0 - 100)   (9.58084,30,0 - 100) (9.58084,-30,0 - 100) 
99  1493718064000921  (-11.596,-30,0 - 100)  (-11.596,30,0 - 100)   (5.04639,30,0 - 100) (5.04639,-30,0 - 100) 
100  1493718065000021  (-11.2012,-30,0 - 100)  (-11.2012,30,0 - 100)   (5.04639,30,0 - 100) (5.04639,-30,0 - 100) 
101  1493718065000122  (-11.2012,-30,0 - 100)  (-11.2012,30,0 - 100)   (5.04639,30,0 - 100) (5.04639,-30,0 - 100) 
102  1493718065000221  (-11.2012,-30,0 - 100)  (-11.2012,30,0 - 100)   (5.04639,30,0 - 100) (5.04639,-30,0 - 100) 
103  1493718065000321  (-11.2012,-30,0 - 100)  (-11.2012,30,0 - 100)   (5.08605,30,0 - 100) (5.08605,-30,0 - 100) 
104  1493718065000422  (-11.2012,-30,0 - 100)  (-11.2012,30,0 - 100)   (5.08605,30,0 - 100) (5.08605,-30,0 - 100) 
105  1493718065000521  (-11.2012,-30,0 - 100)  (-11.2012,30,0 - 100)   (5.114,30,0 - 100) (5.114,-30,0 - 100) 
106  1493718065000622  (-11.2012,-30,0 - 100)  (-11.2012,30,0 - 100)   (5.114,30,0 - 100) (5.114,-30,0 - 100) 
107  1493718065000722  (-11.2012,-30,0 - 100)  (-11.2012,30,0 - 100)   (5.114,30,0 - 100) (5.114,-30,0 - 100) 
108  1493718065000821  (-11.2012,-30,0 - 100)  (-11.2012,30,0 - 100)   (5.114,30,0 - 100) (5.114,-30,0 - 100) 
109  1493718065000922  (-11.1608,-30,0 - 100)  (-11.1608,30,0 - 100)   (5.114,30,0 - 100) (5.114,-30,0 - 100) 
110  1493718066000022  (-11.1608,-30,0 - 100)  (-11.1608,30,0 - 100)   (5.114,30,0 - 100) (5.114,-30,0 - 100) 
111  1493718066000121  (-11.1608,-30,0 - 100)  (-11.1608,30,0 - 100)   (5.114,30,0 - 100) (5.114,-30,0 - 100) 
112  1493718066000222  (-11.1608,-30,0 - 100)  (-11.1608,30,0 - 100)   (8.58603,30,0 - 100) (8.58603,-30,0 - 100) 
113  1493718066000321  (-11.1608,-30,0 - 100)  (-11.1608,30,0 - 100)   (8.58603,30,0 - 100) (8.58603,-30,0 - 100) 
114  1493718066000421  (-11.0312,-30,0 - 100)  (-11.0312,30,0 - 100)   (8.58603,30,0 - 100) (8.58603,-30,0 - 100) 
115  1493718066000522  (-11.0312,-30,0 - 100)  (-11.0312,30,0 - 100)   (8.58603,30,0 - 100) (8.58603,-30,0 - 100) 
116  1493718066000621  (-11.0312,-30,0 - 100)  (-11.0312,30,0 - 100)   (8.58603,30,0 - 100) (8.58603,-30,0 - 100) 
117  1493718066000721  (-10.9495,-30,0 - 100)  (-10.9495,30,0 - 100)   (8.58603,30,0 - 100) (8.58603,-30,0 - 100) 
118  1493718066000822  (-10.9235,-30,0 - 100)  (-10.9235,30,0 - 100)   (8.58603,30,0 - 100) (8.58603,-30,0 - 100) 
119  1493718066000921  (-10.8571,-30,0 - 100)  (-10.8571,30,0 - 100)   (8.58603,30,0 - 100) (8.58603,-30,0 - 100) 
